fips,county,state,analysis_value,Primary care physicians: Primary Care Physicians Rate,Primary care physicians: Primary Care Physicians Ratio,Dentists: Dentist Rate,Dentists: Dentist Ratio,Mental health providers: Mental Health Provider Rate,Mental health providers: Mental Health Provider Ratio,Dental Health: HPSA Score,Dental Health: % of Population Below 100% Poverty,Mental Health: HPSA Score,Mental Health: % of Population Below 100% Poverty,Primary Care: HPSA Score,Primary Care: % of Population Below 100% Poverty,snf_22,nurs_fac_22,home_hlth_agencs_22,rural_hlth_clincs_22,ambultry_surg_ctr_22,hospcs_22,comn_mentl_hlth_ctr_22,nhsc_activ_sites_22,pa_npi_22,clin_nurse_spec_npi_22,crna_npi_22,apn_midwvs_npi_22,chiro_npi_22,podtrst_npi_22,urban_Rural,Dental Health Served Ratio,Mental Health Served Ratio,Primary Care Served Ratio,Civilian noninstitutionalized population,Insured population,Percent Insured population,Uninsured population,Percent Uninsured population
1001,Autauga County,ALABAMA,588,44.747530000000005,2235.0,33.84095,2955.0,37.40315,2674.0,17.0,16.9,13.0,18.05,13.0,19.126666666666665,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,5.0,1.0,5.0,0.0,7.0,3.0,0,0.1456929409971032,2.6603306269601665,0.937674130476063,57443.0,53218.0,92.6,4225.0,7.4
1003,Baldwin County,ALABAMA,608,68.98590999999999,1450.0,48.847080000000005,2047.0,99.43869,1006.0,8.5,17.9,13.25,12.633333333333333,13.666666666666666,15.011538461538462,7.0,0.0,6.0,0.0,1.0,2.0,2.0,6.0,41.0,3.0,30.0,1.0,70.0,8.0,1,0.274415028012743,0.5663182494729966,1.1764294585549455,230074.0,208602.0,90.7,21472.0,9.3
1005,Barbour County,ALABAMA,747,36.45791,2743.0,36.60173,2732.0,24.40115,4098.0,16.25,24.4,14.2,19.4,10.88888888888889,29.9,1.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1,0.2749082936290424,2.6774654597427348,-74.14268585131894,21892.0,19544.0,89.3,2348.0,10.7
1007,Bibb County,ALABAMA,593,58.051260000000006,1723.0,27.10517,3689.0,27.10517,3689.0,15.8,18.15,16.8,18.5,16.75,18.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,5.0,0.0,1.0,0.0,3.0,0.0,0,0.3900404018513645,0.0460583869715596,6.914077483697737,20850.0,19090.0,91.6,1760.0,8.4
1009,Blount County,ALABAMA,601,22.48124,4448.0,19.00517,5262.0,17.27742,5788.0,15.5,15.45,18.5,16.85,7.0,13.5,2.0,0.0,3.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0,0.2007331952762075,0.2072012247590944,12.694964028776978,58587.0,52639.0,89.8,5948.0,10.2
1011,Bullock County,ALABAMA,699,29.70003,3367.0,20.04812,4988.0,20.04812,4988.0,15.4,26.85,16.2,25.450000000000003,18.4,28.8,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.2904743736487346,0.2052713687494868,0.0,9640.0,8464.0,87.8,1176.0,12.2
1013,Butler County,ALABAMA,636,25.70958,3890.0,35.89007,2786.0,66.65299,1500.0,17.75,23.25,17.666666666666668,17.3,15.75,24.2,2.0,0.0,3.0,4.0,0.0,2.0,1.0,2.0,1.0,0.0,3.0,0.0,3.0,2.0,1,0.6218663866649167,0.4097928789706003,-57.20670391061452,18686.0,16633.0,89.0,2053.0,11.0
1015,Calhoun County,ALABAMA,518,61.61701,1623.0,67.85994000000001,1474.0,141.88897,705.0,17.666666666666668,21.3,15.75,19.55,5.7,19.9375,5.0,0.0,2.0,1.0,1.0,2.0,0.0,2.0,11.0,1.0,42.0,0.0,30.0,2.0,0,0.1743679163034001,1.3457737739578066,-3.7926386084795776,114576.0,102146.0,89.2,12430.0,10.8
1017,Chambers County,ALABAMA,611,45.10736,2217.0,21.29925,4695.0,3.04275,32865.0,10.666666666666666,19.65,16.5,21.15,17.181818181818183,21.20909090909091,4.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,1.0,1,0.169242658423493,0.1569455882177426,0.5368229201824511,34130.0,30446.0,89.2,3684.0,10.8
1019,Cherokee County,ALABAMA,619,38.173770000000005,2620.0,15.212599999999998,6574.0,22.81889,4382.0,17.25,16.95,17.0,19.05,11.875,20.06,1.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,1,0.1611384665331962,0.5048459956772562,-40.78722002635046,24779.0,22246.0,89.8,2533.0,10.2
