,fips,county,state,analysis_value,Primary care physicians: Primary Care Physicians Rate,Primary care physicians: Primary Care Physicians Ratio,Dentists: Dentist Rate,Dentists: Dentist Ratio,Mental health providers: Mental Health Provider Rate,Mental health providers: Mental Health Provider Ratio,Dental Health: HPSA Score,Dental Health: % of Population Below 100% Poverty,Dental Health: HPSA Estimated Underserved Population,Dental Health: HPSA Estimated Served Population,Mental Health: HPSA Score,Mental Health: % of Population Below 100% Poverty,Mental Health: HPSA Estimated Underserved Population,Mental Health: HPSA Estimated Served Population,Primary Care: HPSA Score,Primary Care: % of Population Below 100% Poverty,Primary Care: HPSA Estimated Underserved Population,Primary Care: HPSA Estimated Served Population,snf_22,snf_beds_22,snf_cert_beds_22,nurs_fac_22,nurs_fac_beds_22,nurs_fac_cert_beds_22,home_hlth_agencs_22,rural_hlth_clincs_22,ambultry_surg_ctr_22,hospcs_22,comn_mentl_hlth_ctr_22,nhsc_activ_sites_22,pa_npi_22,aprn_npi_22,np_npi_22,clin_nurse_spec_npi_22,crna_npi_22,apn_midwvs_npi_22,chiro_npi_22,opto_npi_22,podtrst_npi_22,urban_Rural,urban_Urban
0,1001,Autauga County,ALABAMA,588,44.747530000000005,2235.0,33.84095,2955.0,37.40315,2674.0,17.0,16.9,65590.0,9556.0,13.0,18.05,68234.0,181525.0,13.0,19.126666666666665,42831.86666666667,40162.333333333336,1.0,162.0,162.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,5.0,34.0,28.0,1.0,5.0,0.0,7.0,5.0,3.0,0,1
1,1003,Baldwin County,ALABAMA,608,68.98590999999999,1450.0,48.847080000000005,2047.0,99.43869,1006.0,8.5,17.9,182060.0,49960.0,13.25,12.633333333333333,26996.545454545456,15288.636363636364,13.666666666666666,15.011538461538462,16227.23076923077,19090.19230769231,7.0,772.0,772.0,0.0,0.0,0.0,6.0,0.0,1.0,2.0,2.0,6.0,41.0,229.0,195.0,3.0,30.0,1.0,70.0,32.0,8.0,1,0
2,1005,Barbour County,ALABAMA,747,36.45791,2743.0,36.60173,2732.0,24.40115,4098.0,16.25,24.4,11858.5,3260.0,14.2,19.4,41980.0,112400.0,10.88888888888889,29.9,-139.0,10305.833333333334,1.0,180.0,180.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,17.0,17.0,0.0,0.0,0.0,1.0,3.0,0.0,1,0
3,1007,Bibb County,ALABAMA,593,58.051260000000006,1723.0,27.10517,3689.0,27.10517,3689.0,15.8,18.15,32300.5,12598.5,16.8,18.5,86303.5,3975.0,16.75,18.1,2607.0,18025.0,1.0,131.0,131.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,5.0,32.0,31.0,0.0,1.0,0.0,3.0,1.0,0.0,0,1
4,1009,Blount County,ALABAMA,601,22.48124,4448.0,19.00517,5262.0,17.27742,5788.0,15.5,15.45,17867.0,3586.5,18.5,16.85,234168.5,48520.0,7.0,13.5,4170.0,52938.0,2.0,223.0,223.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,2.0,0.0,22.0,20.0,0.0,2.0,0.0,2.0,4.0,0.0,0,1
5,1011,Bullock County,ALABAMA,699,29.70003,3367.0,20.04812,4988.0,20.04812,4988.0,15.4,26.85,7863.0,2284.0,16.2,25.450000000000003,48716.0,10000.0,18.4,28.8,9784.0,0.0,1.0,123.0,123.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
6,1013,Butler County,ALABAMA,636,25.70958,3890.0,35.89007,2786.0,66.65299,1500.0,17.75,23.25,7619.0,4738.0,17.666666666666668,17.3,85409.0,35000.0,15.75,24.2,-268.5,15360.0,2.0,209.0,209.0,0.0,0.0,0.0,3.0,4.0,0.0,2.0,1.0,2.0,1.0,21.0,18.0,0.0,3.0,0.0,3.0,3.0,2.0,1,0
7,1015,Calhoun County,ALABAMA,518,61.61701,1623.0,67.85994000000001,1474.0,141.88897,705.0,17.666666666666668,21.3,48174.0,8400.0,15.75,19.55,54392.5,73200.0,5.7,19.9375,-16097.5,61052.0,5.0,667.0,667.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,2.0,11.0,160.0,117.0,1.0,42.0,0.0,30.0,22.0,2.0,0,1
8,1017,Chambers County,ALABAMA,611,45.10736,2217.0,21.29925,4695.0,3.04275,32865.0,10.666666666666666,19.65,17253.333333333332,2920.0,16.5,21.15,167574.0,26300.0,17.181818181818183,21.20909090909091,9427.181818181818,5060.727272727273,4.0,320.0,320.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,16.0,11.0,0.0,5.0,0.0,1.0,2.0,1.0,1,0
9,1019,Cherokee County,ALABAMA,619,38.173770000000005,2620.0,15.212599999999998,6574.0,22.81889,4382.0,17.25,16.95,9240.5,1489.0,17.0,19.05,95078.5,48000.0,11.875,20.06,-759.0,30957.5,1.0,185.0,185.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,29.0,25.0,1.0,2.0,1.0,2.0,3.0,0.0,1,0
